Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
420695,Specimen/Lot,,2,Anthiinae,,Anthiinae : Serranidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Serranidae,Anthiinae,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,,,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/334a1f767-3ba7-4df7-ba22-b4e319bab18f
261081,Specimen/Lot,,1,Archamia dispilus Lachner,,Archamia dispilus Lachner : Apogonidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Apogonidae,Apogoninae,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,,333189,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/3c0f94b64-f480-435c-b91c-c146b15ccf65
336613,Specimen/Lot,Types,2,Bodianus dictynna Gomon,Bodianus diana,Bodianus dictynna Gomon : Labridae : Perciformes : Actinopterygii : Chordata,Paratype,"Gomon, M. F. 2006 [""21 Jun 2006""]. Records of the Australian Museum, Supplement. 30: 59, Figs. 1c, 5d, 37-38.",Perciformes,Labridae,,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,,333189,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/36daa28fb-7b12-4f48-9d4f-e2aad8b93725
228420,Specimen/Lot,,2,Cephalopholis leopardus,,Cephalopholis leopardus : Serranidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Serranidae,Epinephelinae,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,,333189,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/35ed7d017-dbdb-4bcc-a9fc-1071def5b857
219148,Specimen/Lot,,1,Choeroichthys cinctus Dawson,,Choeroichthys cinctus Dawson : Syngnathidae : Syngnathiformes : Actinopterygii : Chordata,,,Syngnathiformes,Syngnathidae,Syngnathinae,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,,332315,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/3b00f9450-3725-41cd-b945-15437c2798a7
282058,Specimen/Lot,,1,Chromis,,Chromis : Pomacentridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Pomacentridae,,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,,333189,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/3154a70d5-dda3-4de9-a4ea-3444932f5363
364413,Specimen/Lot,,3,Chromis,,Chromis : Pomacentridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Pomacentridae,,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,"Ident. by g. allen, 1997.",0,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/31da28942-069b-4978-a1dc-d4b9ff44c0f1
265284,Specimen/Lot,,35,Chromis agilis,,Chromis agilis : Pomacentridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Pomacentridae,,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,,333189,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/381b80373-821e-492f-a7cd-48570eb4f4f4
273527,Specimen/Lot,,14,Chromis ternatensis,,Chromis ternatensis : Pomacentridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Pomacentridae,,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,,333189,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/38782f90e-9971-4dca-82b4-d8a01a0716ef
282386,Specimen/Lot,,2,Chrysiptera rollandi,,Chrysiptera rollandi : Pomacentridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Pomacentridae,,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,,333189,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/3bfccef6b-e906-4c5c-9bfc-f15dc83cb707
