SI_78-79_2-15m	*SampleSet*	1	1	1																						
631	26																									
	SP_78-11	SP_78-13	SP_78-18	SP_78-2	SP_78-20	SP_78-24	SP_78-25	SP_78-3	SP_78-31	SP_78-34	SP_78-37	SP_78-4	SP_78-44	SP_78-46	SP_78-7	SP_78-9	JL-1	LK_79-1	LK_79-10	LK_79-19	LK_79-2	LK_79-20	LK_79-3	LK_79-4	LK_79-5	LK_79-7
Halicampus brocki	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halichoeres	0	0	1	0	0	13	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0
Helcogramma fuscipectoris	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0
Helcogramma rhinoceros Hansen	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lutjanus lemniscatus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Norfolkia brachylepis	0	0	5	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0
Pherallodus indicus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platycephalidae	0	0	1	0	0	4	1	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	4
Plectorhinchus vittatus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plectroglyphidodon leucozonus	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	52	0
Plesiops coeruleolineatus	0	0	1	0	4	4	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	12
Pomacanthus semicirculatus	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pomacentrus chrysurus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	23	0	0	0	2	0
Taeniamia fucata	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thalassoma quinquevittatum	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Alionematichthys suluensis Moller & Schwarzhans	0	0	2	0	0	0	0	0	0	1	1	0	5	0	0	0	0	0	6	0	9	0	2	0	0	5
Atherinomorus lacunosus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Callogobius	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Callogobius okinawae	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctenogobiops	0	0	2	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0
Fusigobius	0	0	2	0	9	10	1	0	0	0	0	2	0	0	7	0	0	0	0	1	1	1	2	0	0	3
Gobiidae	0	0	18	0	2	1	1	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	1	0
Halichoeres marginatus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Helcogramma ellioti	0	0	29	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	10	31	9	17	0	0	0
Helcogramma fuscopinna Holleman	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neoglyphidodon melas	0	0	2	0	2	4	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Ostorhinchus taeniophorus	0	0	2	0	0	0	2	0	0	0	0	0	5	11	0	0	0	2	0	18	5	3	0	0	60	180
Paragobiodon	0	0	2	0	0	0	0	0	0	0	2	0	1	4	0	3	0	0	0	0	0	0	0	0	0	0
Plectroglyphidodon dickii	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	19	0
Pleurosicya coerulea Larson	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Priolepis cinctus	0	0	2	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	1	6	17	0	4	1	15	45
Pseudochromis tapeinosoma	0	0	62	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	7	15	0	23	0	0	0
Stegastes fasciolatus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0
Valenciennea sexguttata	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Acanthurus lineatus	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Barbuligobius boehlkei Lachner & McKinney	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilinus chlorourus	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helcogramma springeri Hansen	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dentatherina merceri Patten & Ivantsoff	0	0	51	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Stethojulis bandanensis	0	0	4	0	0	0	0	0	0	0	2	0	6	0	1	0	0	0	0	0	6	0	0	0	13	0
Bathygobius cyclopterus	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0
Soleidae	0	0	11	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyporhamphus dussumieri	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Limnichthyidae	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enneapterygius rhabdotus	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entomacrodus striatus	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
Trimma naudei	0	0	10	0	10	1	0	0	0	0	0	6	0	0	5	1	0	0	0	0	0	0	0	0	0	0
Diplogrammus	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nannosalarias nativitatis	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Alionematichthys piger	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gobiodon	0	0	12	0	4	5	5	0	0	0	0	3	0	6	19	0	0	0	0	1	0	2	0	1	0	0
Chrysiptera rex	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0
Pseudochromis cyanotaenia	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enneapterygius bahasa Fricke	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pomacentrus adelus Allen	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Entomacrodus thalassinus thalassinus	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Atherion	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Istigobius decoratus (Herre)	0	0	28	0	0	0	43	0	0	10	0	0	0	20	0	0	0	3	1	41	22	0	20	3	1	11
Ostorhinchus sealei	0	0	29	0	0	26	26	0	1	1	1	0	0	45	1	0	0	0	0	0	0	0	0	0	0	0
Andamia reyi	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Praealticus bilineatus	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Praealticus striatus Bath	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entomacrodus decussatus	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Andamia pacifica	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helcogramma desa Williams & Howe	0	0	300	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canthigaster bennetti	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fowleria	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnatholepis davaoensis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Istiblennius edentulus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Istigobius ornatus	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostorhinchus novemfasciatus	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	25	0	26	0	2	0	0	0
Gnatholepis	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	5	4	0	3	0	0	1
Stethojulis trilineata	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Synchiropus ocellatus	0	0	0	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2
Bathygobius crassiceps	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alionematichthys	0	0	0	0	1	0	181	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0
Amblyglyphidodon aureus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphiprion	0	0	0	0	1	0	0	0	10	0	0	1	0	11	1	2	0	0	0	0	0	0	0	0	0	0
Atrosalarias fuscus	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Callionymus enneactis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Callogobius maculipinnis	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1
Canthigaster papua	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
