family,original_id,verified_identification,lowest_tax_cat,notes
,Pomacanthus sexstriatus,Pomacanthus sexstriatus,species,
,Priolepis nuchifasciata,Priolepis nuchifasciata,species,
,Pseudochromis marshallensis,Pseudochromis marshallensis,species,
,Pseudoplesiops knighti Allen,Amsichthys knighti,species,
,Pteragogus,Pteragogus,genus,
,Tenacigobius erythrops,Bryaninops erythrops,species,
,Xenisthmus,Xenisthmus,genus,
,Asterropteryx,Asterropteryx,genus,
,Ecsenius lineatus,Ecsenius lineatus,species,
,Eviota prasites,Eviota prasites,species,
,Parascorpaena,Parascorpaena,genus,
,Trimma,Trimma,genus,
,Halophryne hutchinsi Greenfield,Halophryne hutchinsi,species,
,Lubbockichthys,Lubbockichthys,genus,
,Onigocia pedimacula,Onigocia pedimacula,species,
,Siphamia jebbi Allen,Siphamia jebbi,species,
,Chrysiptera hemicyanea,Chrysiptera hemicyanea,species,
,Parapercis lineopunctata Randall,Parapercis lineopunctata,species,
,Paracheilinus,Paracheilinus,genus,
,Gobiopsis,Gobiopsis,genus,
,Pomacentrus armillatus,Pomacentrus armillatus,species,
,Chrysiptera oxycephala,Chrysiptera oxycephala,species,
,Pseudocheilinops ataenia,Pseudocheilinops ataenia,species,
,Trimma hayashii,Trimma hayashii,species,
,Trimma emeryi Winterbottom,Trimma emeryi,species,
,Apogon coccineus,Apogon coccineus,species,
,Istigobius rigilius,Istigobius rigilius,species,
,Plectorhinchus chaetodonoides,Plectorhinchus chaetodonoides,species,
,Valenciennea parva Hoese & Larson,Valenciennea parva,species,
,Valenciennea puellaris,Valenciennea puellaris,species,
,Bryaninops isis Larson,Bryaninops isis,species,
,Ostorhinchus aureus,Ostorhinchus aureus,species,
,Pomacentrus alexanderae,Pomacentrus alexanderae,species,
,Scorpaenodes hirsutus,Scorpaenodes hirsutus,species,
,Ostorhinchus melanoproctus,Ostorhinchus melanoproctus,species,
,Apogon uninotatus,Apogonichthyoides uninotatus,species,
,Eviota nigramembrana Greenfield & Suzuki,Eviota nigramembrana,species,
,Cephalopholis urodeta,Cephalopholis urodeta,species,
,Pomacentrus amboinensis,Pomacentrus amboinensis,species,
,Bothus pantherinus,Bothus pantherinus,species,
,Cheilinus fasciatus,Cheilinus fasciatus,species,
,Cirrhilabrus exquisitus,Cirrhilabrus exquisitus,species,
,Eurycephalus arenicola,Sunagocia arenicola,species,
,Heniochus,Heniochus,genus,
,Lepadichthys springeri Briggs,Lepadichthys misakius,species,Synonym
,Opistognathus dendriticus,Opistognathus dendriticus,species,
,Parapercis hexophtalma,Parapercis hexophtalma,species,
,Sargocentron caudimaculatum,Sargocentron caudimaculatum,species,
,Sargocentron violaceum,Sargocentron violaceum,species,
,Scorpaenodes parvipinnis,Scorpaenodes parvipinnis,species,
,Siganus corallinus,Siganus corallinus,species,
,Taeniura lymma,Taeniura lymma,species,
,Trimmatom macropodus Winterbottom,Trimmatom macropodus,species,
,Xenisthmus polyzonatus,Xenisthmus polyzonatus,species,
,Chaetodon rafflesii,Chaetodon rafflesii,species,
,Chaetodon trifascialis,Chaetodon trifascialis,species,
,Chromis atripectoralis Welander & Schultz,Chromis atripectoralis,species,
,Cirripectes perustus,Cirripectes perustus,species,
,Halichoeres hortulanus,Halichoeres hortulanus,species,
,Hemigymnus melapterus,Hemigymnus melapterus,species,
,Myripristis adusta,Myripristis adusta,species,
,Pherallodichthys,Pherallodichthys,genus,
,Ptereleotris evides,Ptereleotris evides,species,
,Sargocentron microstoma,Sargocentron microstoma,species,
,Sargocentron spiniferum,Sargocentron spiniferum,species,
,Dischistodus pseudochrysopoecilus,Dischistodus pseudochrysopoecilus,species,
,Scarus niger,Scarus niger,species,
,Siganus virgatus,Siganus virgatus,species,
,Ceratobregma helenae Holleman,Ceratobregma helenae,species,
,Cheiloprion labiatus,Cheiloprion labiatus,species,
,Eviota punctulata Jewett & Lachner,Eviota punctulata,species,
,Belonepterygion fasciolatum,Belonepterygion fasciolatum,species,
,Paragobiodon melanosoma,Paragobiodon melanosoma,species,
,Sargocentron punctatissimum,Sargocentron punctatissimum,species,
,Chromis viridis,Chromis viridis,species,
,Neopomacentrus cyanomos,Neopomacentrus cyanomos,species,
,Ctenochaetus striatus,Ctenochaetus striatus,species,
,Scarus scaber,Scarus scaber,species,
,Stenatherina panatela,Hypoatherina panatela,species,
,Apogon doryssa Jordan & Seale,Apogon doryssa,species,
,Chaetodon vagabundus ?,Chaetodon vagabundus,species,"Marked ""?"""
,Calumia profunda,Calumia profunda,species,
,Centropyge bicolor,Centropyge bicolor,species,
,Cephalopholis spiloparaea,Cephalopholis spiloparaea,species,
,Choerodon,Choerodon,genus,
,Chromis ovatiformes,Pycnochromis ovatiformis,species,
,Coradion fulvocinctus,Coradion altivelis,species,Synonym
,Eviota sparsa Jewett & Lachner,Eviota sparsa,species,
,Labropsis manabei,Labropsis manabei,species,
,Myripristis murdjan,Myripristis murdjan,species,
,Neoniphon opercularis,Neoniphon opercularis,species,
,Paracheilinus angulatus,Paracheilinus angulatus,species,
,Paradiancistrus cuyoensis,Paradiancistrus cuyoensis,species,
,Pempheris,Pempheris,genus,
,Plagiotremus laudandus,Plagiotremus laudandus,species,
,Priolepis fallacincta Winterbottom & Burridge,Priolepis fallacincta,species,
,Siphamia cyanophthalma Gon & Allen,Siphamia cyanophthalma,species,
,Synchiropus laddi,Synchiropus laddi,species,
,Centropyge tibicen,Centropyge tibicen,species,
,Parapercis pacifica,Parapercis pacifica,species,
,Pterois antennata,Pterois antennata,species,
,Scorpaenodes varipinnis,Scorpaenodes varipinnis,species,
,Trimma milta Winterbottom,Trimma milta,species,
,Paracheilinus filamentosus Allen,Paracheilinus filamentosus,species,
,Cirrhilabrus temminckii,Cirrhilabrus temminckii,species,
,Chromis retrofasciata,Pycnochromis retrofasciatus,species,
,Chromis amboinensis,Pycnochromis amboinensis,species,
,Chrysiptera niger,Chrysiptera niger,species,
,Halichoeres scapularis,Halichoeres scapularis,species,
,Hemigymnus fasciatus,Hemigymnus fasciatus,species,
,Histrio histrio,Histrio histrio,species,
,Hypoatherina ovalaua,Hypoatherina ovalaua,species,
,Neoglyphidodon oxyodon,Neoglyphidodon oxyodon,species,
,Salarias fasciatus,Salarias fasciatus,species,
,Epinephelus merra,Epinephelus merra,species,
,Enneapterygius ziegleri,Enneapterygius ziegleri,species,
,Trimma tevegae Cohen & Davis,Trimma tevegae,species,
,Neoglyphidodon polyodon,Neoglyphidodon oxyodon,species,Ask Kent. Original name does not exist. Valid genus name. Valid species name. Neoglyphidodon oxyodon is the most likely species provided the assumption that the genus is correct.
,Pseudochromis,Pseudochromis,genus,
,Salarias guttatus,Salarias guttatus,species,
,Canthigaster ocellicincta Allen & Randall,Canthigaster ocellicincta,species,
,Diploprion bifasciatus,Diploprion bifasciatus,species,
,Genicanthus lamarck,Genicanthus lamarck,species,
,Paracheilinus carpenteri Randall & Lubbock,Paracheilinus carpenteri,species,
,Pristiapogon abrogramma,Pristiapogon abrogramma,species,
,Trimma nasa Winterbottom,Trimma nasa,species,
,Paracheilinus lineopunctatus Randall & Lubbock,Paracheilinus lineopunctatus,species,
,Pomacentrus stigma,Pomacentrus stigma,species,
,Plectroglyphidodon johnstonianus,Plectroglyphidodon johnstonianus,species,
,Ostorhinchus neotes,Ostorhinchus neotes,species,
,Chromis alpha Randall,Chromis alpha,species,
,Foa fo,Foa fo,species,
,Lethrinus harak,Lethrinus harak,species,
,Plectorhinchus lineatus,Plectorhinchus lineatus,species,
,Bathygobius fuscus,Bathygobius fuscus,species,
,Fowleria variegata,Fowleria variegata,species,
,Ostorhinchus,Ostorhinchus,genus,
,Leptoscarus vaigiensis,Leptoscarus vaigiensis,species,
,Pelates quadrilineatus,Pelates quadrilineatus,species,
,Anomalops katoptron,Anomalops katoptron,species,
,Antennarius,Antennarius,genus,
,Centropyge nox,Centropyge nox,species,
,Chaetodon ornatissimus,Chaetodon ornatissimus,species,
,Discotrema crinophilum,Discotrema crinophilum,species,
,Fistularia petimba,Fistularia petimba,species,
,Helcogramma striatum,Helcogramma striata,species,
,Heniochus diphreutes,Heniochus diphreutes,species,
,Pseudoplesiops,Pseudoplesiops,genus,
,Synodus jaculum Russell & Cressey,Synodus jaculum,species,
,Heniochus varius,Heniochus varius,species,
,Trimma cana,Trimma cana,species,
,Ostorhinchus dispar,Ostorhinchus dispar,species,
,Pterocaesio pisang,Pterocaesio pisang,species,
,Taeniamia biguttata,Taeniamia biguttata,species,
,Trimma yanoi,Trimma yanoi,species,
,Chromis elerae Fowler & Bean,Azurina elerae,species,
,Naso,Naso,genus,
,Bothus,Bothus,genus,
,Hippichthys heptagonus,Hippichthys heptagonus,species,
,Torquigener hypselogeneion,Torquigener hypselogeneion,species,
,Plectorhinchus gibbosus,Plectorhinchus gibbosus,species,
,Sillago sihama,Sillago sihama,species,
,Bathygobius hongkongensis,Bathygobius hongkongensis,species,
,Chelonodontops patoca,Chelonodontops patoca,species,
,Eleutherochir opercularis,Eleutherochir opercularis,species,
,Cynoglossidae,Cynoglossidae,family,
,Favonigobius reichei,Favonigobius reichei,species,
,Siganus guttatus,Siganus guttatus,species,
,Waitea,Mahidolia,genus,Synonym
,Callogobius centrolepis,Callogobius centrolepis,species,
,Labropsis,Labropsis,genus,
,Trimmatom sagma,Trimmatom sagma,species,
,Apogonidae,Apogonidae,family,
,Rhabdamia spilota,Rhabdamia spilota,species,
,Myripristis vittata,Myripristis vittata,species,
,Apogon leptacanthus,Zoramia leptacanthus,species,
,Enneapterygius flavoccipitis Shen & Wu,Enneapterygius flavoccipitis,species,
,Rhinogobius decoratus Herre,Istigobius decoratus,species,
,Scorpaenopsis possi Randall & Eschmeyer,Scorpaenopsis possi,species,
,Cirripectes castaneus,Cirripectes castaneus,species,
,Pempheris itoi Fowler,Pempheris itoi,species,
,Pholidichthys leucotaenia,Pholidichthys leucotaenia,species,
,Helcogramma albimacula Williams & Howe,Helcogramma albimacula,species,
,Cirrhitichthys oxycephalus,Cirrhitichthys oxycephalus,species,
,Exallias brevis,Exallias brevis,species,
,Gymnapogon,Gymnapogon,genus,
,Priolepis inhaca,Priolepis inhaca,species,
,Cirripectes polyzona,Cirripectes polyzona,species,
,Pomacentrus bankanensis,Pomacentrus bankanensis,species,
,Parascorpaena mcadamsi,Parascorpaena mcadamsi,species,
,Calumia,Calumia,genus,
,Cephalopholis aurantia,Cephalopholis aurantia,species,
,Chrysiptera caeruleolineata,Chrysiptera caeruleolineata,species,
,Ematops randalli Schwarzhans & Nielsen,Ematops randalli,species,
,Macropharyngodon meleagris,Macropharyngodon meleagris,species,
,Neamia articycla,Neamia articycla,species,
,Pseudojuloides,Pseudojuloides,genus,
,Lutjanus fulvus,Lutjanus fulvus,species,
,Lutjanus lutjanus,Lutjanus lutjanus,species,
,Cirripectes stigmaticus,Cirripectes stigmaticus,species,
,Plectorhinchus lessonii,Plectorhinchus lessonii,species,
,Siphamia majimai,Siphamia majimai,species,
,Thalassoma amblycephalum,Thalassoma amblycephalus,species,
,Ungusurculus,Ungusurculus,genus,
,Parascorpaena mossambica,Parascorpaena mossambica,species,
,Sunagocia otaitensis,Sunagocia otaitensis,species,
,Glossogobius,Glossogobius,genus,
,Glossogobius celebius,Glossogobius celebius,species,
,Trichogaster trichopterus,Trichopodus trichopterus,species,
,Channa striata,Channa striata,species,
,Chanos chanos,Chanos chanos,species,
,Megalops cyprinoides,Megalops cyprinoides,species,
,Cichlidae,Cichlidae,family,
,Scatophagus argus,Scatophagus argus,species,
,Trimma trioculatum Winterbottom et al.,Trimma trioculatum,species,
,Apogon posterofasciatus Allen & Randall,Apogon posterofasciatus,species,
,Bodianus,Bodianus,genus,
,Bodianus diana,Bodianus diana,species,
,Callogobius crassus McKinney & Lachner,Callogobius crassus,species,
,Calloplesiops altivelis,Calloplesiops altivelis,species,
,Cephalopholis sexmaculata,Cephalopholis sexmaculata,species,
,Diancistrus karinae,Diancistrus karinae,species,
,Eleotridae,Eleotridae,family,
,Eviota jewettae Greenfield & Winterbottom,Eviota jewettae,species,
,Priolepis pallidicincta Winterbottom & Burridge,Priolepis pallidicincta,species,
,Pseudanthias,Pseudanthias,genus,
,Pygoplites diacanthus,Pygoplites diacanthus,species,
,Scorpaenopsis,Scorpaenopsis,genus,
,Eviota nigriventris,Eviota nigriventris,species,
,Gymnothorax microstictus Bohlke,Gymnothorax microstictus,species,
,Dinematichthys,Dinematichthys,genus,
,Trimma hoesei,Trimma hoesei,species,
,Chrysiptera traceyi,Chrysiptera traceyi,species,
,Pomacentrus,Pomacentrus,genus,
,Discordipinna griessingeri Hoese & Fourmanoir,Discordipinna griessingeri,species,
,Paracheilinus octotaenia,Paracheilinus octotaenia,species,
,Anampses geographicus,Anampses geographicus,species,
,Cercamia eremia,Cercamia eremia,species,
,Macropharyngodon negrosensis,Macropharyngodon negrosensis,species,
,Sebastapistes,Sebastapistes,genus,
,Siphamia tubifer,Siphamia tubifer,species,
,Photoblepharon palpebratum,Photoblepharon palpebratum,species,
,Cercamia,Cercamia,genus,
,Gracila polleni,Cephalopholis polleni,species,
,Lubbockichthys multisquamatus,Lubbockichthys multisquamatus,species,
,Naso vlamingii,Naso vlamingii,species,
,Nemateleotris,Nemateleotris,genus,
,Neoglyphidodon thoracotaeniatus,Neoglyphidodon thoracotaeniatus,species,
,Pterocaesio,Pterocaesio,genus,
,Trimma anaima Winterbottom,Trimma anaima,species,
,Asterropteryx striata,Asterropteryx striata,species,
,Plectranthias inermis Randall,Plectranthias inermis,species,
,Cirrhilabrus lubbocki Randall & Carpenter,Cirrhilabrus lubbocki,species,
,Lutjanus ehrenbergii,Lutjanus ehrenbergii,species,
,Abudefduf saxatilis,Abudefduf saxatilis,species,
,Cephalopholis aitha Randall & Heemstra,Cephalopholis aitha,species,
,Cephalopholis miniata,Cephalopholis miniata,species,
,Halichoeres melasmapomus Randall,Halichoeres melasmapomus,species,
,Labropsis alleni Randall,Labropsis alleni,species,
,Pomacentrus nigromanus,Pomacentrus nigromanus,species,
,Priacanthus blochii,Priacanthus blochii,species,
,Apogon dianthus,Apogon dianthus,species,
,Calumia biocellata,Calumia godeffroyi,species,Synonym
,Centropyge multifasciatus,Centropyge multifasciata,species,
,Zebrasoma scopas,Zebrasoma scopas,species,
,Trimma flavatrum,Trimma flavatrum,species,
,Pempheris schwenkii,Pempheris schwenkii,species,
,Amblycirrhitus bimacula,Amblycirrhitus bimacula,species,
,Cabillus tongarevae,Cabillus tongarevae,species,
,Caracanthus,Caracanthus,genus,
,Chaetodon citrinellus,Chaetodon citrinellus,species,
,Ctenochaetus,Ctenochaetus,genus,
,Halichoeres nebulosus,Halichoeres nebulosus,species,
,Halichoeres podostigma,Halichoeres podostigma,species,
,Lepadichthys minor,Lepadicyathus minor,species,
,Norfolkia,Norfolkia,genus,
,Salarias patzneri,Salarias patzneri,species,
,Scarus,Scarus,genus,
,Stegastes,Stegastes,genus,
,Salarias segmentatus,Salarias segmentatus,species,
,Enneapterygius unimaculatus,Enneapterygius unimaculatus,species,
,Acanthurus nigrofuscus,Acanthurus nigrofuscus,species,
,Thalassoma jansenii,Thalassoma jansenii,species,
,Ostorhinchus cookii,Ostorhinchus cookii,species,
,Apogon crassiceps,Apogon crassiceps,species,
,Asterorhombus filifer,Asterorhombus filifer,species,
,Ancistrogobius dipus,Ancistrogobius dipus,species,
,Caesio cuning,Caesio cuning,species,
,Cephalopholis,Cephalopholis,genus,
,Choerodon anchorago,Choerodon anchorago,species,
,Chromis delta Randall,Pycnochromis delta,species,
,Cirrhitichthys aprinus,Cirrhitichthys aprinus,species,
,Engyprosopon macrolepis,Engyprosopon macrolepis,species,
,Microbrotula polyactis,Microbrotula bentleyi,species,Synonym
,Pictichromis porphyrea,Pictichromis porphyrea,species,
,Pteropsaron springeri,Pteropsaron springeri,species,
,Thysanophrys chiltonae Schultz,Thysanophrys chiltonae,species,
,Trimma rubromaculatum,Trimma rubromaculatum,species,
,Oxycirrhites typus,Oxycirrhites typus,species,
,Parapercis xanthozona,Parapercis xanthozona,species,
,Ancistrogobius yoshigoui,Ancistrogobius yoshigoui,species,
,Epinephelus summana,Epinephelus summana,species,
,Ctenochaetus tomeniensis,Ctenochaetus tominiensis,species,
,Lutjanus biguttatus,Lutjanus biguttatus,species,
,Centriscus,Centriscus,genus,
,Apogon,Apogon,genus,
,Atrosalarias fuscus holomelas,Atrosalarias holomelas,species,
,Brotulidae,Brotula,genus,Brotulidae is not a family. Brotula is a genus in the family Ophidiidae. Change to Brotula.
,Engyprosopon mogkii,Engyprosopon mogkii,species,
,Heteromycteris,Heteromycteris,genus,
,Neopomacentrus,Neopomacentrus,genus,
,Stegastes obreptus,Plectroglyphidodon obreptus,species,
,Callionymus scabriceps,Callionymus scabriceps,species,
,Epinephelus corallicola,Epinephelus corallicola,species,
,Foa,Foa,genus,
,Oxymonacanthus longirostris,Oxymonacanthus longirostris,species,
,Pteragogus flagellifer,Pteragogus flagellifer,species,
,Sargocentron,Sargocentron,genus,
,Sunagocia arenicola,Sunagocia arenicola,species,
,Heteroconger polyzona,Heteroconger polyzona,species,
,Istigobius,Istigobius,genus,
,Helcogramma striata Hansen,Helcogramma striata,species,
,Chaetodon adiergastos,Chaetodon adiergastos,species,
,Myripristis pralinia,Myripristis pralinia,species,
,Naso unicornis,Naso unicornis,species,
,Pterocaesio randalli Carpenter,Pterocaesio randalli,species,
,Scarus pulchellus,Cetoscarus bicolor,species,Synonym
,Siganus punctatus,Siganus punctatus,species,
,Zanclus cornutus,Zanclus cornutus,species,
,Acanthurus auranticavus,Acanthurus auranticavus,species,
,Naso brevirostris,Naso brevirostris,species,
,Naso thynnoides,Naso thynnoides,species,
,Acanthurus mata,Acanthurus mata,species,
,Heniochus singularius Smith & Radcliffe,Heniochus singularius,species,
,Holacanthus trimaculatus,Apolemichthys trimaculatus,species,
,Apogonichthys ocellatus,Apogonichthys ocellatus,species,
,Chrysiptera cyanea,Chrysiptera cyanea,species,
,Cirrhitus pinnulatus,Cirrhitus pinnulatus,species,
,Enneapterygius philippinus,Enneapterygius philippinus,species,
,Entomacrodus,Entomacrodus,genus,
,Hologymnosus annulatus,Hologymnosus annulatus,species,
,Platybelone argalus platyura,Platybelone platyura,species,
,Rhinecanthus aculeatus,Rhinecanthus aculeatus,species,
,Valenciennea longipinnis,Valenciennea longipinnis,species,
,Xenojulis margaritaceus,Xenojulis margaritacea,species,
,Anampses meleagrides,Anampses meleagrides,species,
,Ostorhinchus hartzfeldii,Ostorhinchus hartzfeldii,species,
,Parascorpaena picta,Parascorpaena picta,species,
,Thalassoma,Thalassoma,genus,
,Thalassoma purpureum,Thalassoma purpureum,species,
,Ablabys taenianotus,Ablabys taenianotus,species,
,Cheilio inermis,Cheilio inermis,species,
,Blenniella periophthalmus,Blenniella periophthalmus,species,
,Nectamia fusca,Nectamia fusca,species,
,Ostorhinchus hoevenii,Ostorhinchus hoevenii,species,
,Calotomus spinidens,Calotomus spinidens,species,
,Atherinidae,Atherinidae,family,
,Amblyeleotris randalli,Amblyeleotris randalli,species,
,Plectorhinchus picus,Plectorhinchus pica,species,
,Heniochus chrysostomus,Heniochus chrysostomus,species,
,Chaetodon lineolatus,Chaetodon lineolatus,species,
,Lutjanus sebae,Lutjanus sebae,species,
,Amphiprion bicinctus,Amphiprion bicinctus,species,
,Atrosalarias hosokawai Suzuki & Senou,Atrosalarias hosokawai,species,
,Gobiesocidae,Gobiesocidae,family,
,Pleurosicya plicata Larson,Pleurosicya plicata,species,
,Cheilodipterus artus,Cheilodipterus artus,species,
,Ecsenius lividanalis Chapman & Schultz,Ecsenius lividanalis,species,
,Pristiapogon exostigma,Pristiapogon exostigma,species,
,Platax pinnatus,Platax pinnatus,species,
,Pleurosicya fringilla Larson,Pleurosicya fringilla,species,
,Aulostomidae,Aulostomidae,family,
,Choeroichthys brachysoma,Choeroichthys brachysoma,species,
,Corythoichthys intestinalis,Corythoichthys intestinalis,species,
,Halichoeres miniatus,Halichoeres miniatus,species,
,Pseudupeneus indicus,Parupeneus indicus,species,
,Hyporhamphus quoyi,Hyporhamphus quoyi,species,
,Halichoeres papilionaceus,Halichoeres papilionaceus,species,
,Hypoatherina temminckii,Hypoatherina temminckii,species,
,Rhinecanthus verrucosus,Rhinecanthus verrucosus,species,
,Siganus fuscescens,Siganus fuscescens,species,
,Halichoeres binotopsis,Halichoeres binotopsis,species,
,Ecsenius bicolor,Ecsenius bicolor,species,
,Siokunichthys nigrolineatus Dawson,Siokunichthys nigrolineatus,species,
,Ecsenius dilemma Springer,Ecsenius dilemma,species,
,Ostorhinchus cavitensis,Ostorhinchus cavitensis,species,
,Samariscus triocellatus,Samariscus triocellatus,species,
,Aspidontus taeniatus taeniatus,Aspidontus taeniatus,species,
,Diancistrus springeri,Diancistrus springeri,species,
,Myripristis trachyacron,Myripristis trachyacron,species,
,Sueviota lachneri Winterbottom & Hoese,Sueviota lachneri,species,
,Halichoeres chrysus Randall,Halichoeres chrysus,species,
,Lepadichthys caritus Briggs,Lepadichthys lineatus,species,Synonym
,Sphyraenidae,Sphyraenidae,family,
,Opistognathus randalli,Opistognathus randalli,species,
,Synchiropus,Synchiropus,genus,
,Antennarius coccineus,Abantennarius coccineus,species,
,Chaetodon mertensii,Chaetodon mertensii,species,
,Crossosalarias macrospilus Smith-Vaniz & Springer,Crossosalarias macrospilus,species,
,Fowleria talboti,Fowleria,genus,Ask Kent. Fowleria is a valid genus. Talboti is a valid species. Fowleria talboti is not a valid species though. If it's assumed that talboti is correct then it could be Apogon talboti which is an Apogonidae like Fowleria that is present in Philippines but not in Allen & Erdmann. Not sure which Fowleria species it could be if that is assumed to be correct. 5 Fowleria spp and 7 Apogon spp in Allen & Erdmann.
,Liopropoma,Liopropoma,genus,
,Enneapterygius similis Fricke,Enneapterygius similis,species,
,Entomacrodus thalassinus,Entomacrodus thalassinus,species,
,Gobiodon quinquestrigatus,Gobiodon quinquestrigatus,species,
,Helcogramma,Helcogramma,genus,
,Paragobiodon echinocephalus,Paragobiodon echinocephalus,species,
,Pardachirus pavoninus,Pardachirus pavoninus,species,
,Thysanophrys arenicola Schultz,Sunagocia arenicola,species,
,Tylosurus crocodilus crocodilus,Tylosurus crocodilus,species,
,Apogonichthys perdix,Apogonichthys perdix,species,
,Epinephelus,Epinephelus,genus,
,Gymnapogon urospilotus,Gymnapogon urospilotus,species,
,Ostorhinchus properuptus,Ostorhinchus properuptus,species,
,Parapercis clathrata,Parapercis clathrata,species,
,Scorpaenopsis diabolus,Scorpaenopsis diabolus,species,
,Acentrogobius signatus,Acentrogobius signatus,species,
,Amoya moloanus,Acentrogobius moloanus,species,
,Callionymus,Callionymus,genus,
,Callogobius hastatus McKinney & Lachner,Callogobius hastatus,species,
,Cristatogobius,Cristatogobius,genus,
,Eleotris melanosoma,Eleotris melanosoma,species,
,Epinephelus coeruleopunctatus,Epinephelus coeruleopunctatus,species,
,Exyrias belissimus,Exyrias belissimus,species,
,Gladiogobius ensifer,Gladiogobius ensifer,species,
,Mugilogobius zebrina,Mugilogobius chulae,species,Mugilogobius zebrina is not a valid species. Assumed to be Mugilogobius zebra. This is a synonym of Mugilogobius chulae
,Oxyurichthys cornutus,Oxyurichthys cornutus,species,
,Oxyurichthys ophthalmonema,Oxyurichthys ophthalmonema,species,
,Sphyraena barracuda,Sphyraena barracuda,species,
,Yongeichthys criniger,Yongeichthys nebulosus,species,Synonym
,Brachygobius,Brachygobius,genus,
,Caragobius urolepis,Caragobius urolepis,species,
,Cynoglossus puncticeps,Cynoglossus puncticeps,species,
,Glossogobius aureus,Glossogobius aureus,species,
,Mahidolia,Mahidolia,genus,
,Oxyeleotris lineolatus,Oxyeleotris lineolata,species,
,Strongylura strongylura,Strongylura strongylura,species,
,Tetraroge barbata,Tetraroge barbata,species,
,Trypauchenopsis intermedia,Trypauchenopsis intermedia,species,
,Asterropteryx bipunctatus,Asterropteryx bipunctata,species,
,Cheilinus bimaculatus,Oxycheilinus bimaculatus,species,
,Ctenochaetus tominiensis,Ctenochaetus tominiensis,species,
,Pleurosicya labiata,Pleurosicya labiata,species,
,Pseudochromidae,Pseudochromidae,family,
,Siphamia argentea,Siphamia argentea,species,
,Synchiropus splendidus,Synchiropus splendidus,species,
,Belonepterygion,Belonepterygion,genus,
,Chaetodon melannotus,Chaetodon melannotus,species,
,Chaetodon speculum,Chaetodon speculum,species,
,Cirripectes springeri Williams,Cirripectes springeri,species,
,Dascyllus melanurus,Dascyllus melanurus,species,
,Doryrhamphus dactyliophorus,Dunckerocampus dactyliophorus,species,
,Fowleria punctulata,Fowleria variegata,species,CAS: Fowleria punctulata is a synonym of F. isostigma and F. variegata. Should this be Fowleria isostigma or Fowleria variegata? WORMS: F. punctulata as valid. Fishbase: F. punctulata as a synonym of F. variegata. F. isostigma and F. variegata in Allen & Erdmann.
,Fusigobius neophytus,Fusigobius neophytus,species,
,Helcogramma inclinatum,Helcogramma inclinata,species,
,Neoniphon sammara,Neoniphon sammara,species,
,Parapercis tetracantha,Parapercis tetracantha,species,
,Plectroglyphidodon,Plectroglyphidodon,genus,
,Salarias ceramensis,Salarias ceramensis,species,
,Siganus puellus,Siganus puellus,species,
,Soleichthys heterorhinos,Soleichthys heterorhinos,species,
,Anampses melanurus,Anampses melanurus,species,
,Canthigaster axiologus,Canthigaster axiologus,species,
,Corythoichthys ocellatus,Corythoichthys ocellatus,species,
,Gnatholepis anjerensis,Gnatholepis anjerensis,species,
,Gnatholepis cauerensis cauerensis,Gnatholepis cauerensis,species,
,Parapriacanthus,Parapriacanthus,genus,
,Bathygobius meggitti,Bathygobius meggitti,species,
,Diplogrammus xenicus,Diplogrammus xenicus,species,
,Gerres filamentosus,Gerres filamentosus,species,
,Monodactylus argenteus,Monodactylus argenteus,species,
,Neostethus villadolidi,Neostethus villadolidi,species,
,Ophicara porocephala,Ophiocara porocephala,species,
,Oxyurichthys papuensis,Oxyurichthys papuensis,species,
,Pardachirus poropterus,Pardachirus poropterus,species,
,Periophthalmus regius,Periophthalmus kalolo,species,"Assumed to be Periophthalmus vulgaris regius (Whitley, 1931). Periophthalmus vulgaris is a synonym of Periophthalmus kalolo."
,Plagiotremus tapeinosoma,Plagiotremus tapeinosoma,species,
,Redigobius balteatus,Redigobius balteatus,species,
,Taenioides anguillaris,Taenioides anguillaris,species,
,Exyrias,Exyrias,genus,
,Mesopristes argenteus,Mesopristes argenteus,species,
,Platycephalus indicus,Platycephalus indicus,species,
,Pomacentrus taeniometopon,Pomacentrus taeniometopon,species,
,Pseudorhombus arsius,Pseudorhombus arsius,species,
,Taenioides cirratus,Taenioides cirratus,species,
,Aseraggodes,Aseraggodes,genus,
,Bythitidae,Bythitidae,family,
,Chaetodon lunula,Chaetodon lunula,species,
,Chrysiptera,Chrysiptera,genus,
,Enchelyurus kraussi,Enchelyurus kraussi,species,
,Eviota minuta Jewett & Lachner,Eviota minuta,species,
,Eviota zonura Jordan & Seale,Eviota zonura,species,
,Plectroglyphidodon zonatus,Plectroglyphidodon zonatus,species,
,Siganus spinus,Siganus spinus,species,
,Alionematichthys plicatosurculus Moller & Schwarzhans,Alionematichthys plicatosurculus,species,
,Epinephelus bontoides,Epinephelus bontoides,species,
,Lutjanus quinquelineatus,Lutjanus quinquelineatus,species,
,Ostorhinchus doederleini,Ostorhinchus doederleini,species,
,Petroscirtes variabilis,Petroscirtes variabilis,species,
,Pseudamia gelatinosa,Pseudamia gelatinosa,species,
,Pseudupeneus barberinoides,Parupeneus barberinoides,species,Synonym
,Amblygobius bynoensis,Amblygobius bynoensis,species,
,Aseraggodes xenicus,Aseraggodes xenicus,species,
,Blenniella chrysospilos,Blenniella chrysospilos,species,
,Cirripectes auritus Carlson,Cirripectes auritus,species,
