"station_code","specimen_count","verified_identification","lowest_tax_cat","adjusted_latitude","adjusted_longitude","locality","field_number","province_state","island_group","island","bottom","depth_m","study"
"mab_332",1,"Fowleria vaiulae","species",13.817944,120.904,"Ligpo (dive site)","MAB-332","Batangas",NA,"Luzon I.","base wall, coral & sand","40 - 53 ft.","cas_2016"
"mab_333",3,"Fowleria vaiulae","species",13.674,120.911028,"Batangas, Bauan, between Ligpo and Dive & Trek.","MAB-333","Batangas",NA,"Luzon I.","rock intertidal surge channels","0 - 10 ft.","cas_2016"
"mab_342",4,"Fowleria vaiulae","species",13.659028,120.837389,"Batangas, Tingloy, south side of Maricaban I., Batalang Bato (""Kitchen Rock"").","MAB-342","Batangas","Zapato Is.","Maricaban I.",NA,"45 - 63 ft.","cas_2016"
"mab_349",1,"Fowleria vaiulae","species",13.651028,120.841389,"Batangas, Tingloy, south side of Maricaban I., Devil's Point (dive site)","MAB-349","Batangas","Zapato Is.","Maricaban I.",NA,"100 - 130 ft.","cas_2016"
"mab_355",1,"Fowleria vaiulae","species",13.650917,120.841306,"Batangas, Tingloy, south side of Maricaban I., Devil's Point (dive site)","MAB-355","Batangas","Zapato Is.","Maricaban I.",NA,"117 ft.","cas_2016"
"mab_356",5,"Fowleria vaiulae","species",13.687556,120.832611,"Batangas, Tingloy, SW tip of Maricaban I., ""MYC"" (Mabini Yacht Club) [painted on a rock]","MAB-356","Batangas","Zapato Is.","Maricaban I.","sand, rock, sparse coral","45 - 70 ft.","cas_2016"
"mab_308",1,"Gymnapogon urospilotus","species",13.717278,120.872472,"Batangas, Mabini, Koala (dive site)","MAB-308","Batangas",NA,"Luzon I.",NA,"10 - 19 ft.","cas_2016"
"sia_06",1,"Neamia octospina","species",9.0504,123.1149,"Siaton, Tambobo (dive site)","SIA-06","Negros Oriental",NA,"Negros I.","coral sand","20 - 30 ft.","cas_2016"
"mab_350",5,"Nectamia fusca","species",13.684194,120.8305,"Batangas, Tingloy, SW tip of Maricaban I., Cemetery (dive site)","MAB-350","Batangas","Zapato Is.","Maricaban I.",NA,"0 - 5 ft.","cas_2016"
"sqr_06",2,"Nectamia luxuria","species",9.1712,123.464,"Central Visayas Region, Siquijor I., San Juan, Paliton Wall","SQR-06","Siquijor",NA,"Siquijor I.","coral reef drop-off","60 - 87 ft.","cas_2016"
"sqr_12",14,"Nectamia luxuria","species",9.170194,123.465722,"Central Visayas Region, Siquijor I., San Juan, Paliton [Wall]","SQR-12","Siquijor",NA,"Siquijor I.",NA,"43 ft.","cas_2016"
"mab_308",9,"Nectamia viria","species",13.717278,120.872472,"Batangas, Mabini, Koala (dive site)","MAB-308","Batangas",NA,"Luzon I.",NA,"10 - 19 ft.","cas_2016"
"zam_05",101,"Ostorhinchus aureus","species",9.139333,123.229833,"Zambanguita, Mojon dive site","ZAM-05","Negros Oriental",NA,"Negros I.","coral, rubble, sand","33 - 70 ft.","cas_2016"
"dau_18",40,"Ostorhinchus aureus","species",9.196639,123.275111,"Negros I., Dauin, VIP reef","DAU-18","Negros Oriental",NA,"Negros I.","sand w/ some seagrass; slope w/ outcrops","19 ft.","cas_2016"
"mab_319",15,"Ostorhinchus aureus","species",13.688167,120.827278,"Batangas, Tingloy, Sepok (dive site)","MAB-319","Batangas",NA,"Luzon I.",NA,"85 ft.","cas_2016"
"mab_350",8,"Ostorhinchus cookii","species",13.684194,120.8305,"Batangas, Tingloy, SW tip of Maricaban I., Cemetery (dive site)","MAB-350","Batangas","Zapato Is.","Maricaban I.",NA,"0 - 5 ft.","cas_2016"
"mab_319",11,"Ostorhinchus cyanosoma","species",13.688167,120.827278,"Batangas, Tingloy, Sepok (dive site)","MAB-319","Batangas",NA,"Luzon I.",NA,"85 ft.","cas_2016"
