SI_78-79_15-50m	*SampleSet*	1	1	1																			
465	23																						
	SP_78-10	SP_78-16	SP_78-21	SP_78-27	SP_78-29	SP_78-30	SP_78-33	SP_78-36	SP_78-38	SP_78-39	SP_78-41	SP_78-43	SP_78-45	JL-2	JL-3	JL-4	JL-6	JL-7	LK_79-13	LK_79-16	LK_79-6	LK_79-8	LK_79-9
Thalassoma lunare	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilinus	0	4	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilodipterus truncatus	0	4	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0
Trimma striata	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cephalopholis boenak	0	8	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusigobius signipinnis Hoese & Obika	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostorhinchus nigrofasciatus	0	9	1	10	1	0	0	3	0	1	9	0	1	5	16	6	4	0	25	17	28	24	15
Chrysiptera talboti	0	12	0	0	0	2	0	0	0	0	0	10	3	0	0	0	0	17	0	0	0	0	0
Pomacentrus brachialis	0	12	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Eviota pellucida Larson	0	17	4	6	2	32	2	3	20	8	2	9	0	1	13	0	0	36	12	1	0	1	1
Chrysiptera springeri	0	18	0	0	0	0	0	0	4	0	0	0	12	0	0	0	0	0	0	0	0	0	0
Cheilodipterus	0	89	4	0	0	5	1	1	4	0	0	0	21	0	0	0	0	0	0	0	0	0	0
Amblyeleotris guttata	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	1	0
Amblyeleotris steinitzi	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblyeleotris wheeleri	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblyglyphidodon aureus	0	0	1	0	1	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0
Amblygobius phalaena	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphiprion perideraion	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Apogon erythrinus	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bryaninops loki Larson	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cabillus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Callogobius	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Callogobius sclateri	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodontoplus mesoleucus	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
