SI_78-79_0-2m	*SampleSet*	1	1	1															
454	19																		
	SP_78-37A	SP_78-22	SP_78-1	SP_78-12	SP_78-15	SP_78-17	SP_78-19	SP_78-32	SP_78-37B	SP_78-42	SP_78-5	SP_78-8	JL-5	LK_79-11	LK_79-12	LK_79-15	LK_79-17	LK_79-18	LK_79-14
Dascyllus aruanus	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	8	0	0	0
Epibulus insidiator	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusigobius	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gobiodon	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Helcogramma springeri Hansen	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Labracinus cyclophthalmus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Laiphognathus multimaculatus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Meiacanthus grammistes	0	0	0	0	0	3	0	0	0	0	20	0	0	0	0	4	0	0	0
Parascorpaena aurita	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pleurosicya micheli	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pomacentrus adelus Allen	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pristicon trimaculatus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0
Pseudupeneus barberinus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptereleotris microlepis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Salarias obscurus Bath	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
Saurida gracilis	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0
Scolopsis lineata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Stethojulis interrupta	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
Ucla xenogrammus Holleman	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Valenciennea	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblygobius hectori	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblygobius nocturnus	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Callogobius maculipinnis	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Canthigaster compressa	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Chelmon rostratus	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Diodon holocanthus	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
Eviota sebreei	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota storthynx	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Favonigobius	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Gobiopsis aporia Lachner & McKinney	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Nectamia savayensis	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	39	0	0	0
Sphaeramia nematoptera	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Apogon erythrinus	0	0	0	0	0	3	0	0	0	0	9	0	0	0	0	0	0	0	0
Congrogadus hierichthys	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Congrogadus subducens	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	17	0	0	0
Coryphopterus	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Neoglyphidodon melas	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Pleurosicya muscarum	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Pomacentrus simsiang	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudamia	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Synodus dermatogenys	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0
Cheilodipterus	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilodipterus quinquelineatus	0	0	0	0	0	4	0	0	0	0	7	0	0	0	0	3	0	0	0
Dunckerocampus dactyliophorus	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudochromis fuscus	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	2	0	0	0
Scorpaenopsis ramaraoi Randall & Eschmeyer	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Upeneus tragula	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0
Valenciennea sexguttata	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota korechika	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Fowleria	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Hemiglyphidodon plagiometopon	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraplotosus albilabris	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Scolopsis margaritifera	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Scorpaenodes	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0
Valenciennea muralis	0	0	0	0	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0
Dischistodus perspicillatus	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Halichoeres melanurus	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Paragobiodon	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Stethojulis strigiventer	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0
Pseudochromis fowleri	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Lepadichthys bolini	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	3	0	0	0
Canthigaster papua ?	0	0	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	0	0
Ostorhinchus multilineatus	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	39	0	0	0
Amblyglyphidodon	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
Apogonichthyoides uninotatus	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Meiacanthus geminatus	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota queenslandica	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
Asterropteryx ensifera	0	0	0	0	0	23	0	0	0	0	3	0	0	0	0	0	0	0	0
Zoramia leptacantha	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblygobius phalaena	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0
Salarias sinuosus Snyder	0	0	0	0	0	31	0	0	0	0	0	1	0	0	0	0	0	0	0
Macrodontogobius wilburi	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0
Dischistodus prosopotaenia	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostorhinchus sealei	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0
Altrichthys curatus Allen	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0
Zoramia fragilis	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthurus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acentrogobius suluensis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Amblygobius linki	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
Arothron manilensis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Toxotidae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Drombus	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0	0	0	12	0
Yongeichthys nebulosus	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Sillago macrolepis	0	0	0	0	0	0	7	22	0	0	0	0	0	0	0	0	0	33	0
Trimma okinawae	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Gerres punctatus	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Cryptocentroides insignis	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
Zenarchopterus dispar	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
Bothus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bothus pantherinus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	8
Hippichthys heptagonus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Torquigener hypselogeneion	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Plectorhinchus gibbosus	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Sillago sihama	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	2	4
Bathygobius hongkongensis	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Chelonodontops patoca	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0
Eleutherochir opercularis	0	0	0	0	0	0	0	4	0	0	0	0	0	0	7	0	0	0	0
Cynoglossidae	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Favonigobius reichei	0	0	0	0	0	0	0	8	0	0	0	0	0	2	71	0	11	28	0
Siganus guttatus	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	3
Waitea	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
Glossogobius	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
Glossogobius celebius	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Trichogaster trichopterus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Channa striata	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Chanos chanos	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Megalops cyprinoides	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Cichlidae	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Scatophagus argus	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Lutjanus ehrenbergii	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Serranidae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Abudefduf saxatilis	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
Anampses geographicus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Apogonichthys ocellatus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Chromis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Chrysiptera cyanea	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Cirrhilabrus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cirrhitus pinnulatus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cirripectes polyzona	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Coris gaimard	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Diancistrus machidai	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Enneapterygius philippinus	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
Entomacrodus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Halichoeres hortulanus	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Halichoeres scapularis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hemigymnus melapterus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
