complete_name	location	legislation	network	year_established	core_area_ha	buffer_area_ha
Madua Norte Marine Sanctuary	Madua Norte Duero Bohol	Municipal Ordinance Mun Ord  02-2003	null	1999	3.47	0
Lipanto Fish Sanctuary	Lipanto Saint Bernard Southern Leyte	Municipal Ordinance No. 1996-02	null	1996	3.5	0
Canigao Island Fish Sanctuary	null Matalom Leyte	Resolution MR# 91-71 & MR# 91-06	null	1992	3.5	0
Takot Reef Marine Protected Area	null Romblon Romblon	NA	null	2004	3.53	0
Lipata I Marine Protected Area	Lipata Pres. Carlos P. Garcia Bohol	Resolution #2 Series of 2007

Municipal Ordinance C-004 Series of 2005

Edit basic information	null	2006	3.6	0
Nausok Marine Sanctuary	Nausok Jagna Bohol	Municipal Ordinance Mun Ord  9-09-2007	null	2001	3.635	0
Funda-guintas Marine Sanctuary	null Hamtic Antique	Municipal Ordinance Mun. Ord. No. 01-1999	null	1999	3.65	0
Lunas Acropora Park	Lunas Romblon Romblon	NA	null	0	3.684	0
Bunga Mar Marine Sanctuary	Bunga Mar Jagna Bohol	Municipal Ordinance Mun Ord  9-09-2007; Mun Ord  6-09-2001	null	1998	3.79	0
Tawing-tawing Reef Sanctuary	null Narra Palawan	Municipal Ordinance No. 159, 2005	null	2005	3.822	19.775
Santos Reef Fish Sanctuary	null Narra Palawan	Municipal Ordinance No. 159, 2005	null	2005	3.845	19.2
Bob Reef Sanctuary	null Narra Palawan	Municipal Ordinance No. 159, 2005	null	2005	3.845	19.2
Alga Marine Protected Area	null Catarman Camiguin	Catarman CRM Code of 2011	null	2011	3.85	0
Minoyho Marine Reserve	Minoyho San Juan Southern Leyte	NA	null	2012	3.86	0
Batonan Sur Fish Sanctuary	Batonan Sur Culasi Antique	Municipal Ordinance Mun Ord  11 & 44-1996; Mun Ord  07,08,09 & 10-1996	null	1996	3.868	0
Madua Sur Marine Sanctuary	Madua Sur Duero Bohol	Municipal Ordinance Mun Ord  02-2003	null	1999	3.97	0
Balangiga Reef Fish Sanctuary (Paglalangnan Reef)	Barangay Poblacion VI Balangiga Eastern Samar	Municupal Ordinance No. 2003 - 004	null	2003	4	1
Oro Marine Reserve	null Dapitan City Zamboanga Del Norte	NA	null	2008	4	0
Mambayaan Fish Sanctuary	Mambayaan Balingasag Misamis Oriental	Mun. Comprehensive Fishery Ordinance 2006	null	2006	4	0
Dakit-Dakit Marine Sanctuary	null Lapu-Lapu City Cebu	Municipal Ordinance Mun Ord  425-2006	null	0	4	0
Gigantangan Island Tourist Zone and Marine Reserve	null Calubian Leyte	Proclamation PP# 1801	null	1978	4	0
Kibila Marine Sanctuary (Brgy. Cantaan)	null Guinsiliban Camiguin	NA	null	2001	4	0
Santa Sofia Fish Sanctuary	Santa Sofia Padre Burgos Southern Leyte	Municipal Ordinance Resolution No. 045 S 2005 Mun Ord  2005-05	null	2005	4	0
Dampias Fish Sanctuary	Dampias Binuangan Misamis Oriental	Barangay Ordinance No. 01, Series of 2000	null	2006	4	0
Mobod Fish/Shellfish Sanctuary	null null Misamis Occidental	LGU Initiative	null	0	4	0
Sn. Vicente Bajo Fish/Shellfish Sanctuary	null null Misamis Occidental	NA	null	0	4	0
Motag Marine Sanctuary	null Malay Aklan	Municipal Ordinance Mun Ord  2005-231	null	2005	4	0
Timba - Benit Fish Sanctuary	Benit San Ricardo Southern Leyte   / Timba San Ricardo Southern Leyte	Resolution MR# 107-94 & BFAR AO	null	0	4	0
Payao Fish Sanctuary & Marine Reserve	null Catbalogan Samar	NA	null	1997	4	0
Lungsodaan Fish Sanctuary	Lungsodaan Padre Burgos Southern Leyte	Municipal Ordinance Res. No. 045-2005   Ord. No. 2005-005	null	2005	4	0
Las Salinas Sur Marine Sanctuary	null Loay Bohol	Municipal Ordinance Series 1986; Mun. Ord. C-	null	2003	4	0
Timba Fish Sanctuary and Marine Reserve	Timba San Juan Southern Leyte	Municipal Ordinance No. 2002-5	null	2002	4	0
Agay-ay Fish Sanctuary and Marine Reserve	Agay-Ay San Juan Southern Leyte	Municipal Ordinance No. 2002-5	null	2002	4	0
New Barbacan MPA	null null null	MO 480 s2014	null	2014	4	504.63
Corangon Marine Fishery Reserve & Sanctuary	Baybay Tiwi Albay	Municipal Ordinance No.2002-2 An ordinance Declaring a marine fishery & sanctuary with the coastal water of the municipality of tiwi	null	2002	4.04	1
Lipata Fish Sanctuary	null Culasi Antique	Municipal Ordinance Brgy Ord. 11-1996; Mun. Res. No. 375-96	null	1997	4.0425	0
San Roque Marine Sanctuary	null Mahinog Camiguin	-	null	2001	4.06	0
Binaobao Marine Sanctuary	Binaobao Bantayan Cebu	Municipal Ordinance Mun. Ord No. 08-1999 (to be amended)	null	2003	4.064	0
Guinsularan Marine Sanctuary	Guinsularan Duero Bohol	Municipal Ordinance Mun Ord  02-2003	null	2003	4.09	0
Nonoc Marine Protected Area	Nonoc Larena Siquijor	Municipal Ordinance Mun Ord  18-1996; Mun Ord  04-2003	null	1996	4.13	0
Basdiot Fish Sanctuary	Basdiot Moalboal Cebu	Municipal Ordinance Mun Ord  9A-1998	null	1998	4.17	0
Nemo/Clown Fish MPA	null Dauin Negros Oriental	NA	null	2000	4.2	0
Bahura Marine Reserve	null Dauin Negros Oriental	Municipal Ordinance Mun Ord  01-2005	null	2005	4.21	0
Cautod Fish Sanctuary	null Santa Margarita Samar	Municipal Ordinance Mun. Ord. (specific number not obtained)	null	2005	4.4	0
Pilar Mangrove Protected Area	null Bolinao Pangasinan	NA	null	1997	4.5	0
Digyo Marine Sanctuary	null Inopacan Leyte	NA	null	1995	4.5	0
Gibitngil Marine Sanctuary	null Medellin Cebu	Municipal Ordinance Unknown	null	2004	4.5	0
Can-unzo Marine Reserve Area	null Merida Leyte	Municipal Ordinance Mun. Fisheries Ord. No. 02-2003	null	1998	4.5	0
Agutayan Island MPA	Jampason Jasaan Misamis Oriental	Municipal Ordinance MO# 24-97	null	1997	4.5	0
Pescador Island Marine Sanctuary	Basdiot Moalboal Cebu	Proclamation PD 704 & PD 705, MO# 76-1996; Presidential Proclamation No. 1234	null	1996	4.5	0
Tangaro Marine Protected Area	null Catarman Camiguin	Catarman CRM Code of 2011	null	2011	4.55	0
Jandayan Sur Fish Refuge and Sanctuary	Jandayan Sur Jetafe Bohol	Municipal Ordinance Brgy. Res. No. 36-1999;

Municipal Ordinance No. 08-2002	null	2002	4.65	0
Tagusao-Sowangan Marine Protected Area	null null null	MO 1, s2012	null	2012	4.7	45388.62
Tagusao-Sowangan Marine Protected Area	null null null	MO 1, s2012	null	2012	4.7	45388.62
Tagusao-Sowangan Marine Protected Area	null null null	MO 1, s2012	null	2012	4.7	45388.62
Tagusao-Sowangan Marine Protected Area	null null null	MO 1, s2012	null	2012	4.7	45388.62
Catarman Marine Sanctuary	null Liloan Cebu	Municipal Ordinance MO# 01-2000	null	2000	4.74	0
Victory Marine Protected Area	Victory Bolinao Pangasinan	Municipal Ordinance MO# 2002-09	null	2002	4.8	0
San Isidro Fish Sanctuary	San Isidro Tomas Oppus Southern Leyte	NA	null	2003	4.8	0
Camboang Marine Sanctuary	Camboang Dumanjug Cebu	Municipal Ordinance Mun Ord  05-1997	null	1997	4.82	0
Bagasbas Marine Protected Area	null Daet Camarines Norte	on Process of establishment	null	0	5	1
Barusbus Marine Sanctuary	Barusbus Libertad Antique	Resolution no. 129-99	null	1999	5	1
Bulanao Marine Sanctuary	Bulanao Libertad Antique	Resolution no. 104-2001	null	2001	5	1
San Roque Marine Sanctuary	San Roque Libertad Antique	Resolution no. 036-99	null	1999	5	1
Animasola Is.	null San Pascual Masbate	Resolution SBR# 97-17	null	0	5	0
Patnongon Fish Refuge and Sanctuary	null Patnongon Antique	Municipal Ordinance Mun Ord  46-2005	null	2005	5	0
Kalamansing Fish Sanctuary	null Maigo Lanao Del Norte	NA	null	0	5	0
Brgy. Nipa Libod/Dilis culture	null null Samar	R. #27	null	1995	5	0
Lutao Reef Marine Sanctuary Reserve & Laboratory	null Catbalogan Samar	Municipal Ordinance MO# 96-043	null	0	5	0
Mansud Wall Marine Protected Area	Dadatan Island Garden City of Samal Davao Del Norte	Municipal Ordinance City Ord. No. 2010-160	Davao Gulf Marine Protected Area Network Plan	2001	5	0
Palimbang Fish Sanctuary	null Maigo Lanao Del Norte	NA	null	0	5	0
Dulapo Fish/Shellfish Sanctuary	null null Misamis Occidental	NA	null	0	5	0
Halabangbaybay Is.	null San Pascual Masbate	NA	null	0	5	0
Magcasongyao Fish Sanctuary & Marine Reserve	null Catbalogan Samar	NA	null	0	5	0
Mauswagon MPA	Mauswagon Laguindingan Misamis Oriental	NA	null	2008	5	0
Poblacion Marine Reserve	Poblacion San Jose Negros Oriental	Municipal Ordinance Mun. Ord No. 01-1994	null	1994	5	0
7 Ayud facing Mactan Island	null null Cebu	Municipal Ordinance MO	null	0	5	0
Baybay Molocboloc Fish Sanctuary	null Alubijid Misamis Oriental	NA	null	2006	5	0
Bancal Bay Fish Sanctuary	null Carles Iloilo	Municipal Ordinance MO# 96-05	null	1996	5	0
Albaguen Island Fish Sanctuary	null San Vicente Palawan	NA	null	1997	5	0
Brgy. Poblacion Fish Sanctuary	null Mambajao Camiguin	NA	null	2006	5	0
Poblacion (Tibiao) Reef Reserve	null Tibiao Antique	Municipal Ordinance Mun. Ord. (specific number not obtained)	null	1993	5	0
Banban-Luyang Marine Protected Area	null Siquijor Siquijor	Resolution Mun. Res. Concurring Joint Resolution establishing Marine Sanctuary in Banban-Luyang boundaries	null	2007	5	0
Kinabuga-an Point Fish Sanctuary	null San Vicente Palawan	NA	null	1997	5	0
Casay Fish Sanctuary and Marine Park	Casay Dalaguete Cebu	Municipal Ordinance MO# 2002-69	null	2002	5	0
Tuble Fish Sanctuary	Tuble Moalboal Cebu	Municipal Ordinance BR, MO	null	2006	5	0
Brgy. Tagda Municipal Mangrove Forest Reserve	null Hinigaran Negros Occidental	NA	null	0	5	0
Punta & Abuyon Fish Sanctuary	null San Narciso Quezon	NA	null	0	5	0
Botigues Marine Sanctuary	null Bantayan Cebu	Municipal Ordinance Mun. Ord No. 08-1999 (to be amended)	null	1999	5	0
Sto. Domingo Fish Sanctuary	Calay-Ab Santo Domingo Ilocos Sur	MFO, IRR, Ordinance and Management Plan	null	2005	5	0
Cawit Marine Reserve	Cawit Pilar Cebu	Barangay Ordinance No. 10 Series of 2011	null	2011	5	0
Pamilacan Coral Garden	Pamilacan Baclayon Bohol	NA	null	2008	5	0
Guiwanon - Santa Cruz Marine Protected Area	Guiwanon Baclayon Bohol   / Santa Cruz Baclayon Bohol	NA	null	2008	5	0
Taguihon Bamboo Reef	Taguihon Baclayon Bohol	NA	null	2008	5	0
Bin-de Fish Sanctuary	Binuni Bacolod Lanao Del Norte	Comprehensive Municipal Fisheries Ordinance 2007	null	2007	5	0
Baigad Marine Sanctuary	Baigad Bantayan Cebu	Municipal Ordinance Mun. Ord No. 08-1999 (to be amended)	null	2006	5.01	0
Mogpog Community Marine Reserve	Silangan Mogpog Marinduque	MO #115 S of 2006	null	2006	5.07	253.5
Sagahan Marine Protected Area (Campanoy Reef)	null Toboso Negros Occidental	MO No. 03 s of 2012	Harmonized Municipal Fisheries Management Ordinance

MO No. 93 s of 2004	Coastal Resources Regulation Ordinance

MO No. 02 s of 1999	Codifying Regulatory Measures Ordinance	null	2012	5.1	0
Biking Marine Sanctuary	Biking Dauis Bohol	Municipal Ordinance Mun Ord  07-2005	null	2005	5.25	0
Calubian Fish Sanctuary	null Calubian Leyte	Resolution Mun. Res. No. 04 Series 1997	null	1997	5.28	0
Opol Marine Sanctuary	Luyongbonbon Opol Misamis Oriental	NA	null	2002	5.3	0
Looc Fish Sanctuary	Lo-Ok Anahawan Southern Leyte	Municipal Ordinance No. 2003-02	null	2003	5.35	0
Dampias-Mosangot Marine Sanctuary	Mosangot Binuangan Misamis Oriental   / Dampias Binuangan Misamis Oriental	Ordinance No. 011 Series of 2005	null	2005	5.4	0
Bolod Fish Sanctuary	Bolod Panglao Bohol	Municipal Ordinance Mun Ord  02-2005;          Municipal Order No. 08-1998	null	1998	5.42	0
Dolores Marine Fisheries Haven	null Valencia Negros Oriental	NA	null	2014	5.49	35.32
Catbawan - Dan-an Fish Sanctuary	Catbawan Pintuyan Southern Leyte   / Dan-An Pintuyan Southern Leyte	Barangay Ordinance Brgy. Ord. No. 01-1999	null	1999	5.5	0
Brgy. 25 Municipal Waters	null Gingoog City Misamis Oriental	NA	null	0	5.5	0
Poblacion Marine Protected Area	null Catarman Camiguin	Catarman CRM Code of 2011	null	2011	5.52	0
Santa Filomena Marine Sanctuary	null Alegria Cebu	Municipal Ordinance Mun Ord  5-1994	null	1994	5.62	0
Magkalagom Marine Protected Area	null Alcantara Cebu	Municipal Ordinance Mun Ord  06-2002	null	2002	5.6831	0
Pajo Marine Sanctuary	Pajo Libertad Antique	Resolution no. 050-2003	null	2003	5.76	1
Pucio Marine Sanctuary	Pucio Libertad Antique	Resolution no. 088-2000	null	2000	5.76	1
Union Marine Sanctuary	Union Libertad Antique	Resolution no. 173-1999	null	1999	5.76	1
Naatang Marine Sanctuary	Naatang Jagna Bohol	Municipal Ordinance Mun Ord  9-09-2007	null	2002	5.8074	0
Canimog Fish Sanctuary	Apuao Mercedes Camarines Norte	Mun.186-2010 An Ordinance Declaring Canimog Island as Additional Refuge/ Sanctuary	null	2010	5.887	1
Buntis Marine Sanctuary	null Bacong Negros Oriental	Municipal Ordinance Mun Ord  16-2000	null	2000	5.97	0
Agnipa Acropora Garden	Agnipa Romblon Romblon	NA	null	0	5.975	0
Balaas Marine Reserve	Balaas Manjuyod Negros Oriental	Municipal Ordinance Mun. Ord. (specific number not obtained)	null	2002	6	0
Masaplod Sur Marine Reserve	null Dauin Negros Oriental	Municipal Ordinance Mun Ord  02-2000	null	2001	6	0
Burnay Marine Sanctuary	null Gitagum Misamis Oriental	NA	null	2006	6	0
Yellow Snapper MPA	Masaplod Sur Dauin Negros Oriental	New ord. # 10-2	null	2002	6	0
Bugatusan Wilderness Area	null null Bohol	Proclamation PP# 2151 & PP# 225229	null	0	6	0
Pinol Fish Sanctuary	null Maitum Sarangani	NA	null	0	6	0
Blue Spotted Whale - Stingray Marine Reserve	Masaplod Norte Dauin Negros Oriental	Municipal Ordinance under CRM Ordinance (unified ordinance)	null	1997	6	0
Polo Marine Reserve	Polo Tanjay Negros Oriental	Municipal Ordinance Mun Ord  02-1998	null	1998	6	0
Lajog Marine Sanctuary	Lajog Clarin Bohol	Municipal Ordinance No. 8 series 2002;

Municipal Ordinance No. 04 series of 2011	null	2002	6	0
Malusay Marine Reserve	Malusay Guihulngan Negros Oriental	Municipal Ordinance Mun Ord  20-1996	null	1996	6	0
Hagdan Marine Sanctuary	null Santa Fe Cebu	BO No. 03 s of 2010	Hagdan MPA Ordinance	null	2008	6	0
Punta Reef Riverside Fish Sanctuary	null Kolambugan Lanao Del Norte	NA	null	2002	6	0
Hilaitan Marine Reserve	Hilaitan Guihulngan Negros Oriental	Municipal Ordinance Mun Ord  21-1996	null	1996	6	0
Masaplod Norte Marine Reserve	Masaplod Norte Dauin Negros Oriental	Municipal Ordinance Mun Ord  02-2001; Mun Ord  97-02-1997	null	1994	6	0
Calero Marine Sanctuary	null Dapitan City Zamboanga Del Norte	NA	null	2006	6	0
Cangmating Marine Reserve	Cangmating Sibulan Negros Oriental	Municipal Ordinance Mun Ord  14-1997	null	1997	6	0
Tangkaan Fish Sanctuary	Tangkaan Padre Burgos Southern Leyte	Municipal Ordinance Res. No. 045-2005   Ord. No. 2005-005	null	2005	6	0
Agan-an Marine Reserve	Agan-An Sibulan Negros Oriental	Municipal Ordinance Mun Ord  10-1999	null	1999	6	0
Lapinig Marine Sanctuary	null Balingoan Misamis Oriental	NA	null	1998	6	0
Lion Fish Marine Protected Area	null Dauin Negros Oriental	Municipal Ordinance Mun. Ordinance No. 02 series of 2000	null	2002	6	0
Artajo Marine Sanctuary	Artadi Magsaysay Misamis Oriental	Municipal Ordinance	null	2000	6	0
Mago-ong Samburon Marine Protected Area	Samburon Linamon Lanao Del Norte   / Magoong Linamon Lanao Del Norte	Linamon Comprehensive Fishery Code of 2010	null	2010	6	0
Sinisian East MPA	Mataas Na Bayan Lemery Batangas   / Sinisian East Lemery Batangas	Municipal Ordinance No. 02-343

Municipal Ordinance No. 08-128	Batangas Marine Protected Area And Bantay Dagat Network	2008	6.2	0
Maite Marine Protected Area	Maite San Juan Siquijor	Municipal Ordinance Mun. Ord. No. 2009-06	null	2009	6.3	0
Binabalasan Island Marine Sanctuary	null Salcedo Eastern Samar	Municipal Ordinance Mun Ord  05-02-2005 approved by Res. No. 162-2005	null	2006	6.35	0
Montaneza MPA	null Malabuyoc Cebu	Municipal Ordinance Mun. Ord No. 030-2007	null	2007	6.358	0
Andulay Marine Reserve	Si-It Siaton Negros Oriental	Municipal Ordinance Mun Ord  07,-1993	null	1994	6.4	0
Lewing Fish Sanctuary	Lewing Anahawan Southern Leyte	Municipal Ordinance No. 2003-02	null	2005	6.4	1
Punta Fuego Marine Sanctuary	Balaytigui Nasugbu Batangas	Ordinance No. 23, Resolution No. 52 Series 2009	null	2009	6.45	0
Lamawan Pony Marine Protected Area	null San Jose Antique	Resolution Mun. Res. No. 77-2003	null	2003	6.5	0
Paliton Marine Protected Area	Paliton San Juan Siquijor	Municipal Ordinance Mun. Ord. No. 21-2008	null	2008	6.5	0
Carenahan Fish Sanctuary and Fish Reserve	Carenahan Balayan Batangas	MO 594 s. 2003-14	Batangas Marine Protected Area And Bantay Dagat Network	2003	6.567	0
Binatubo (Binaliwan) Marine Sanctuary	null Mahinog Camiguin	-	null	2001	6.567	0
Calayugan Norte Shell Garden and Fish Sanctuary	Calayugan Norte Loon Bohol	Municipal Ordinance Municipal Order No. 02-011-2002	null	2002	6.57	0
Malatgao Fishery Reserve	null null null	.	null	1	6.59797	0
Cogon Norte Shell Garden and Fish Refuge and Sanctuary	Cogon Norte Loon Bohol	Municipal Ordinance Mun Ord  002-2000	null	1997	6.61	0
Ipil Marine Sanctuary	Ipil Jagna Bohol	Municipal Ordinance Mun Ord  9-09-2007; Mun Ord  6-09-2001	null	2002	6.65	0
Talayong  Marine Protected Area	Talayong Lazi Siquijor	Municipal Ordinance Municipal Ordinance (not specified)	null	2003	6.68	0
Sitio Nagubat Fish Sanctuary	Alambique Gigaquit Surigao Del Norte	Municipal Ordinance No. 65 Series of 2009	null	2009	6.693	13.186
Bingag Marine Sanctuary	Bingag Dauis Bohol	Municipal Ordinance Municipal OrdinanceNo. 07-2005	null	2003	6.7	0
Pangapasan Island Fish Sanctuary	null Tubigon Bohol	Municipal Ordinance BO# 02-s-1998; Mun Ord 02-1998	null	1998	6.75	0
Napayong Marine Protected Area	null Lazi Siquijor	NA	null	2003	6.83	0
Cabugan Marine Reserve	Cabugan Bindoy Negros Oriental	Municipal Ordinance 2008-004

MPA established 1986, Central Visayas Regional Project time	null	1986	6.9	0
Dolores Marine Fisheries Haven	null null null	-	null	2014	6.96	0
Mabay, Maitum Fish Sanctuary	null Maitum Sarangani	NA	null	0	7	0
Tinangnan Marine Sanctuary	Tinangnan Tubigon Bohol	Municipal Ordinance #3 Series of 2009	null	2009	7	0
Garrido Marine Reserve	Garrido San Juan Southern Leyte	NA	null	2012	7.04	0
Maayong Tubig Marine Reserve	null Dauin Negros Oriental	Municipal Ordinance Mun Ord  02-2000	null	2000	7.129	0
Anibong Marine Sanctuary	null Ayungon Negros Oriental	Municipal Ordinance Mun Ord  10 & 11-2005	null	2005	7.14	0
Alumar Marine Sanctuary	Alumar Jetafe Bohol	Municipal Ordinance MO# 5-s-1996, MO 2003	null	1996	7.3	0
Bulak Marine Reserve	null Dauin Negros Oriental	Municipal Ordinance Mun Ord  01-2005	null	2005	7.42	0
Barracuda MPA	null Dauin Negros Oriental	Mun. Ord.	null	2002	7.424	0
Canuba Marine Sanctuary	Can-Uba Jagna Bohol	Municipal Ordinance Mun Ord  9-09-2007	null	2002	7.483	0
Calatagan Mangrove Forest Conservation Park	Quilitisan Calatagan Batangas	Mun. ordinance environmental code -Series of 2009 of SGP Executive Order No. 13-2014	Batangas Marine Protected Area And Bantay Dagat Network	2009	7.5	1
Apid Marine Sanctuary	null Inopacan Leyte	NA	null	1994	7.5	0
Tubod Marine Protected Area	Tubod San Juan Siquijor	Municipal Ordinance Municipal  Ordinance No. 7,-1989; Mun Ord  15,-1996, Mun. Ord. No. 23-2003	null	1987	7.5	0
Limay Fish Sanctuary	Poblacion Limay Bataan   / Wawa Limay Bataan	Ordinansang Pambayan na Kikilanlin Bilang Limay Fish Sanctuary Zone Ordinance of 2005	null	2005	7.5	0
Babag Reef Sedentary Invertebrate Sanctuary	null Panglima Sugala (Balimbing) Tawi Tawi	PS-07-015 S - 2007	null	2007	7.5	0
Esperanza Fish Sanctuary	Esperanza Bacolod Lanao Del Norte	Comprehensive Municipal Fisheries Ordinance 2007	null	2007	7.5	0
Union Marine Sanctuary	Union Ubay Bohol	Brgy Resolution No. 19 Series 2007	null	0	7.6	0
Poblacion Marine Sanctuary	Poblacion Oslob Cebu	Municipal Ordinance #11 Series of 2009	null	2009	7.63	0
Magbangon (Tinagan) Fish Sanctuary	null Albuera Leyte	Barangay Ordinance Brgy. Ord. No. 01-02-1998 aproved by Res.No. 01-2003	null	1995	7.7	0
Batuan Fish Sanctuary	null Ormoc City Leyte	Resolution Res. No. 024-2003	null	2003	7.71	0
Doljo Fish Sanctuary	Doljo Panglao Bohol	Municipal Ordinance Mun Ord  08-1998	null	1998	7.71	0
Catarman Marine sanctuary	Catarman Dauis Bohol	Municipal Ordinance Mun Ord  07-2005	null	1997	7.73	0
Bil-isan Fish Sanctuary	Bil-Isan Panglao Bohol	Municipal Ordinance Mun Ord  08-1998	null	1998	7.758	0
Chico Island Wildlife Sanctuary	null null null	Proclamation 272, 2000	null	2000	7.77	0
Basak Marine Sanctuary	null Zamboanguita Negros Oriental	Municipal Ordinance Mun Ord  11-1999	null	2006	7.8	0
San Francisco Fish Sanctuary	null Talibon Bohol	Municipal Ordinance Mun Ord 15-1996	null	1996	7.8	0
Mahaba Marine Sanctuary	null Inopacan Leyte	Resolution BR. #01 & MR. #62	null	1994	7.8	0
Manlapo Reef Fish Sanctuary	null Narra Palawan	Municipal Ordinance No. 159, 2005	null	2005	7.966	10.173
Bubuanan Marien Protected Area & Fish Sanctuary	null Catbalogan Samar	Municipal Ordinance Mun. Ord. 200-017	null	2005	8	0
Canhawan Fish Sanctuary	null Catbalogan Samar	Municipal Ordinance Mun. Ord. 200-017	null	2005	8	0
Maslog Marine Sanctuary	null Tabogon Cebu	NA	null	2003	8	0
Jaena Marine Sanctuary	null Baybay Leyte	Municipal Ordinance Mun. Ord.(specific number not obtained)	null	0	8	0
Buayan MS	null null South Cotabato	NA	null	0	8	0
Monbon Marine Protected Area & Fish Sanctuary	null Catbalogan Samar	Municipal Ordinance Mun. Ord. 200-017	null	2005	8	0
Guindacpan Marine Sanctuary	Guindacpan Talibon Bohol	Municipal Ordinance No. 96-48;

Municipal Ordinance No. C-004	null	1995	8	0
Marisan Reef Fish Santuary & Marine Reserve	null Catbalogan Samar	Municipal Ordinance MO# 98-090	null	1998	8	0
Old Mahayag Fish Sanctuary & Marine Reserve	null Catbalogan Samar	Municipal Ordinance MO# 98-090	null	1998	8	0
Lucero Marine Protected Area	null Bolinao Pangasinan	aaa	null	2004	8	0
Old Mahayag Protected Area & Fish Sanctuary	null Catbalogan Samar	Municipal Ordinance Mun. Ord. 200-017	null	2005	8	0
Rama Marine Protected Area & Fish Sanctuary	null Catbalogan Samar	Municipal Ordinance Mun. Ord. 200-017	null	2005	8	0
Iguid Fish Sanctuary & Marine Reserve	null Catbalogan Samar	NA	null	0	8	0
Liberty Marine Sanctuary	Liberty Bien Unido Bohol	Municipal Ordinance MO# 2 Series of 2002	null	2002	8	0
Anilao Reserve Area for Seagrass and Brown Mussl	null Anilao Iloilo	Municipal Ordinance Mun. Ord. (specific number not obtained)	null	1997	8	0
Lutaon Reef Marine Protected Area & Fish Sanctuary	null Catbalogan Samar	Municipal Ordinance Mun. Ord. 200-017	null	1996	8	0
Poblacion Marine Sanctuary	Poblacion Asturias Cebu	MO No. 14 s of 2012	Poblacion Marine Sanctuary Ordinance	null	2012	8	0
Langub-San Roque Marine Sanctuary	Langub Asturias Cebu   / null Asturias Cebu	MO No. 83 s of 2013	Langub-San Roque Marine Sanctuary Ordinance	null	2013	8	0
Danao Fish Sanctuary	Danao Panglao Bohol	Municipal Ordinance Mun Ord  8-1998	null	1998	8.07	0
Saavedra Fish Sanctuary	Saavedra Moalboal Cebu	Municipal Ordinance Mun Ord  9A-1994	null	1994	8.13	0
South Lipayo Marine Sanctuary	null Dauin Negros Oriental	Municipal Ordinance Mun. Ord. (specific number not obtained)	null	2005	8.2	0
Tonggusong-Maruwa Fish Sanctuary	Maruwa Simunul Tawi Tawi   / Tonggosong Simunul Tawi Tawi	Municipal Ordinance Joint BR# 1-s-2007, MO# 009-07	null	2007	8.2	0
Lalag-Bato Marine Reserve	null Lazi Siquijor	Ordinance MO	null	2003	8.23	0
Larapan Marine Sanctuary	Larapan Jagna Bohol	Mun. Ord. No 9-09-2007;

Mun. Ord. No. 6-09 Series

2001	null	2002	8.24	0
Luculan Shoal	null Clarin Misamis Occidental	NA	null	2006	8.25	0
Sto. Nino Marine Rehabilitation Zone	null San Jose Negros Oriental	N/A	null	2013	8.4	0
Balagawan Marine Protected Area	Balagawan Silago Southern Leyte	NA	null	0	8.5	0
Bonbonon Marine Sanctuary	null Siaton Negros Oriental	Municipal Ordinance Mun Ord  15-1995	null	1995	8.6	0
Oslao Marine Fish Sanctuary	Oslao San Francisco Surigao Del Norte	Municipal Ordinance No. 087 Series of 2009	null	2009	8.6	0
Puro Island Fish Sanctuary	null Calbayog City Samar	Municipal Ordinance Mun. Ord. (specific number not obtained)	null	1998	8.73	0
Maac Fish Sanctuary	null Sogod Southern Leyte	Municipal Ordinance Res. No. 244-A-s. 2004; Mun Ord  2004-79	null	2006	8.75	0
Moog MPA	Moog Laguindingan Misamis Oriental	N/A	null	2010	8.75	0
Apuao Fish Sanctuary	Apuao Mercedes Camarines Norte	Mun. Ord No.100-2002 An Ordinance Establishing Fish Sanctuary at Barangay Apuao, Caringo, Quinapaguian and Malasgui Island	null	2002	8.76	1
Mantigue Island Marine Sanctuary	null Mahinog Camiguin	-	null	2000	8.8	0
Bio-os ""Takot-Diot"" Marine Sanctuary	Bio-Os Amlan Negros Oriental	Municipal Ordinance Mun Ord  21-1999	null	1999	8.87	17.3
Canhagdon Occidental Fish Refuge and Seagrass Sanctuary	Canhangdon Occidental Loon Bohol	Municipal Ordinance Municipal OrdinanceNo. 01-007-2001	null	2000	8.91	0
Carang Marine Reserve	null Dapitan City Zamboanga Del Norte	NA	null	2003	8.96	0
Arbor Marine Sanctuary	Arbor Boljoon Cebu	Municipal Ordinance Municipal Ordinance No. No. 04-2002	null	2002	9	0
Tanagan Marine Protected Area	Tanagan Calatagan Batangas	Calatagan Environmental Code 2009/ Barangay Ordinance	Batangas Marine Protected Area And Bantay Dagat Network	1995	9	0
Manglit Marine Sanctuary	Manglit Pintuyan Southern Leyte	Municipal Ordinance No. 1997-04	null	1997	9	0
Damayuhan Marine Sanctuary	Damayuhan Magsaysay Misamis Oriental	Municipal Ordinance	null	1998	9	0
Puerto San Pedro Fish Sanctuary	Puerto San Pedro Bien Unido Bohol	Municipal Ordinance MO# 02-s-2002, MR# 95-014	null	1995	9	0
Poblacion Fish Sanctuary	Poblacion (Bien Unido) Bien Unido Bohol	CRM Code

6-8-98-Dole-7-R#VII-1887	null	1998	9	0
